#,項目號碼,項目說明,製造商,上次採購價格,供應商最新報價
4955,12-0981B5550,CPU SOCKET SMD LGA 1155P PE115527-4041-01F PB_FREE,INTEL,NTD 47.0000,NTD 47.0000
4956,12-0981B5551,CPU SOCKET LOADING MODULE DIP LGA 1155P PT44A68-6401 PB_FREE,INTEL,NTD 37.0000,NTD 37.0000
4957,12-0981Z4790,CPU SOCKET SMD LGA-3647-X YELLOW SEGMENT A TE2-2129710-6 PB_FREE,FCI,USD 8.4000,USD 8.4000
4958,12-0981Z4791,CPU SOCKET SMD LGA-3647-X BLACK SEGMENT B TE2-2129710-5 PB_FREE,FCI,USD 8.4000,USD 8.4000
4959,12-098B5550,*CPU SOCKET SMD LGA 1155P PE115527-4041-01F PB_FREE,INTEL,NTD 107.1000,NTD 107.1000
4960,12-098B5551,*CPU SOCKET LOADING MODULE DIP LGA 1155P PT44A68-6401  PB_FREE,INTEL,NTD 70.9000,NTD 70.8750
4961,12-099028890,DDRIV DIMM SOCKET DIP 288P 180°ST AH08847-B9V10-4F (15u”) PB_FREE,FOXCONN,NTD 24.5000,NTD 24.5000
4962,12-099028891,DDRIV DIMM SOCKET DIP 288P 180°ST AH08847-B9B10-4F (15u”) PB_FREE,FOXCONN,NTD 24.5000,NTD 24.5000
4963,12-099126090,*DDRIV SODIMM SOCKET SMD 260P 90°RA REVERSE H:4mm AS0A826-H4RB-7H 317-0000-2261_D PB_FREE,FOXCONN,NTD 12.0000,NTD 12.0000
4964,12-099126091,*DDRIV SODIMM SOCKET SMD 260P 90°RA STANDARD H:4mm AS0A826-H4SB-7H 317-0000-2260_D PB_FREE,FOXCONN,NTD 12.0000,NTD 12.0000
4965,12-099126092,DDRIV SODIMM SOCKET SMD 260P 90°RA REVERSE H:9.2mm ASAA826-EARB0-7H 317-0000-EARB0 PB_FREE,FOXCONN,NTD 17.0000,NTD 17.0000
4966,12-099126093,DDRIV SODIMM SOCKET SMD 260P 90°RA STANDARD H:9.2mm ASAA826-EASB0-7H PB_FREE,FOXCONN,,
4967,12-099126094,DDRIV SODIMM SOCKET SMD 260P 90°RA STANDARD H:5.2mm AS0A826-H2SB-7H PB_FREE,FOXCONN,NTD 12.0000,NTD 12.0000
4968,12-099126095,DDRIV SODIMM SOCKET SMD 260P 90°RA REVERSE H:5.2mm AS0A826-H2RB-7H PB_FREE,FOXCONN,NTD 12.0000,NTD 12.0000
4969,12-099126096,DDRIV SODIMM SOCKET SMD 260P 90°RA STANDARD H:4mm TE 2309407-1 PB_FREE,TELE TEC,USD 0.3900,USD 0.3900
4970,12-099126097,DDRIV SODIMM SOCKET SMD 260P 90°RA REVERSE H:4mm TE 2309408-1 PB_FREE,TELE TEC,USD 0.3900,USD 0.3900
4971,12-099126098,DDRIV SODIMM SOCKET SMD 260P 90°RA REVERSE H:4mm ASAA826-H4RB5-7H PB_FREE,FOXCONN,NTD 12.0000,NTD 12.0000
4972,12-099126099,DDRIV SODIMM SOCKET SMD 260P 90°RA STANDARD H:4mm ASAA826-H4SB5-7H PB_FREE,FOXCONN,NTD 12.0000,NTD 12.0000
4973,12-09912609A,DDRIV SODIMM SOCKET SMD 260P 90°RA STANDARD H:4.8mm ASAA826-H4SB5-7H PB_FREE,FOXCONN,,
4974,12-09912609B,DDRIV SODIMM SOCKET SMD 260P 90°RA REVERSE H:4.8mm ASAA826-H4RB5-7H PB_FREE,FOXCONN,,
4975,12-09912609C,DDRIV SODIMM SOCKET SMD 260P 90°RA STANDARD H:5.2mm 2309409-1 PB_FREE,TELE TEC,USD 0.3900,USD 0.3900
4976,12-09912609D,DDRIV SODIMM SOCKET SMD 260P 90°RA REVERSE H:5.2mm 2309410-1 PB_FREE,TELE TEC,USD 0.3900,USD 0.3900
4977,12-09A106090,*((DEBUG)) XDP SOCKET SMD 60P ST BSH-030-01 PB_FREE,samtec,NTD 66.0000,NTD 66.0000
4978,12-09B101690,SPI FLASH SOCKET SMD 16P ST ACA-SPI-006-K01 PB_FREE,LOTES,NTD 16.5000,NTD 16.5000
4979,12-100000010,CONN PCIE4.0 SMD ST x16  2*82P FOXCONN 2EF5827-DA9D0-5H,FOXCONN,NTD 56.0000,NTD 56.0000
4980,12-100000020,CONN PCIE4.0 SMD ST x8  2*49P FOXCONN 2EF5497-DA9D0-8H,FOXCONN,NTD 53.0000,NTD 53.0000
4981,12-100000030,CONN PCIE3.0 DIP ST x4 2*32P (Guide pin 2.5mm) LOTES APCIA133-K001DC,LOTES,NTD 6.0000,NTD 6.0000
4982,12-100000040,CONN PCIE3.0 DIP ST x4 2*32P (Guide pin 2.5mm) CONTACT PCIE-06402A-2-B-S165,CONTACT,NTD 6.0000,NTD 6.0000
4983,12-100000050,CONN PCIE3.0 SMD ST x16 2*82P ALLTOP C52306-1G439-Y (黑色/夾板式),ALLTOP,,
4984,12-100000060,CONN PCIE5.0 SMD ST x8 2*49P LOTES APC50014-P006CC,LOTES,,NTD 63.1500
4985,12-100000070,CONN PCIE4.0 SMD ST x8 2*49P LOTES APCI0471-P002C,LOTES,,NTD 38.0000
4986,12-100000080,CONN PCIE4.0 SMD ST x16 2*82P LOTES APCI0334-P503C,LOTES,NTD 52.0000,NTD 52.0000
4987,12-100100731,*SATA CON. DIP ST 1*7P PH1.27 CD011D00A015-G PB_FREE,COMAX,NTD 4.0000,NTD 4.0000
4988,12-100100732,*SATA CON. 4 in 1 DIP ST 1*7P PH1.27 CD011D20A015-G PB_FREE,COMAX,,
4989,12-100100733,*SATA CON. DIP ST 1*7P PH1.27 SATA-P07PDSGS4-P012-K-T-RO(19870030) PB_FREE,DAVID,NTD 2.6000,NTD 2.6000
4990,12-100100734,*SATA CON. DIP ST 1*7P PH1.27 ECSP07DV13BT-C5 PB_FREE,SONETEK,NTD 2.5006,NTD 2.5000
4991,12-100100735,*SATA CON. DIP ST 1*7P PH1.27 5A2.2171B-13180.107 HOLDER PB_FREE,ARC,NTD 3.7000,NTD 3.7000
4992,12-100200730,CONN SATA DIP ST 7P LIAN XIANG 007-01-01170,Lian Xiang,NTD 3.2002,NTD 3.5000
4993,12-100203690,PCIE2.0 DIP x1 ST 2*18P PCIe2-36PGS-K-RO(1989B020)(?色) PB_FREE,DAVID,,
4994,12-100203691,PCIE3.0 DIP x1 ST 2*18P PCIe 153-0360EV0201(黑色) PB_FREE,EVERSHINE,NTD 4.1000,NTD 4.1000
4995,12-100204990,PCIE3.0 DIP x8 ST 2*49P 2EG04921-D2W-DF (白色) PB_FREE,FOXCONN,NTD 12.0000,NTD 12.0000
4996,12-100204991,PCIE3.0 DIP x8 ST 2*49P 2EG04917-D2D-DF (黑色) PB_FREE,FOXCONN,NTD 10.0000,NTD 10.0000
4997,12-100206490,PCIE3.0 DIP x4 ST 2*32P PCIe2-64PGS-K-RO(1989B030)(黑色) PB_FREE,DAVID,NTD 6.8800,NTD 6.8800
4998,12-100206491,*PCIE1.0 DIP x4 ST 2*32P S3PCI01(黑色) PB_FREE,Lian Xiang,NTD 7.8000,NTD 7.8000
4999,12-100206492,PCIE3.0 DIP x4 ST 2*32P 5P3.2215C-1L381.064 (黑色) PB_FREE,ARC,NTD 5.5000,NTD 5.5000
5000,12-100209890,PCIE2.0 DIP x8 ST 2*49P PCIe2-98PGS-K-RO(1989B010)(黑色) PB_FREE,DAVID,NTD 8.8000,NTD 9.0000
5001,12-100209891,*PCIE1.0 DIP x8 ST 2*49P 153-0980EO0201(黑色) PB_FREE,EVERSHINE,NTD 8.6000,NTD 8.6000
5002,12-100216490,*PCIE1.0 DIP x16 ST 2*82P 153-1643EO0201(黑色) PB_FREE,EVERSHINE,NTD 11.0000,NTD 11.0000
5003,12-100401890,PCIE3.0 DIP x1 ST 2*18P 2EG01817-D2D-DF(黑色) PB_FREE,FOXCONN,NTD 4.0000,NTD 4.0000
5004,12-100403200,*PCIE3.0 DIP x4 ST 2*32P AAA-PCI-159-K02 (黑色) PB_FREE,LOTES,NTD 6.2000,NTD 6.2000
5005,12-100404900,PCIE3.0 DIP x8 ST 2*49P AAA-PCI-163-K02 (黑色) PB_FREE,LOTES,NTD 6.3000,NTD 6.3000
5006,12-100404901,PCIE3.0 DIP x8 ST 2*49P AAA-PCI-163-K42 (白色) PB_FREE,LOTES,NTD 6.5000,NTD 6.5000
5007,12-100408200,PCIE3.0 DIP x16 ST 2*82P 2EGE8211-RAD0-4F(黑色) PB_FREE,FOXCONN,NTD 11.0000,NTD 11.0000
5008,12-101100231,*SATA CON. DIP RA TYPE2 PH1.27  CD011C71A035-G PB_FREE,COMAX,NTD 15.0000,NTD 15.0000
5009,12-101100232,SATA CON. DIP RA TYPE2 PH1.27  SATA3-P(07+15)SDLGS2-P012-K-A-RO(1987C010) PB_FREE,DAVID,NTD 23.0000,NTD 23.0000
5010,12-101100233,SATA CON. DIP RA TYPE2 PH1.27  ECSR22DR13BT-C5 PB_FREE,SONETEK,NTD 12.0000,NTD 12.0000
5011,12-101100234,SATA CON. DIP RA TYPE2 PH1.27 SATA7-P(07+15)SDLGS2-P012-K-A-RO(1987G010) PB_FREE,DAVID,NTD 11.3000,NTD 12.0000
5012,12-101100235,SATA CON. PIH RA TYPE2 PH1.27 C166CN-12205-L PB_FREE,ALLTOP,NTD 12.5000,NTD 12.5000
5013,12-101100730,*ESATA CON. DIP RA 1*7P PH1.27 ESATA-P07PDLGS4-M311-K-A-RO(2C060010) PB_FREE,DAVID,NTD 7.0000,NTD 8.0000
5014,12-101100731,*ESATA CON. DIP RA 1*7P PH1.27 CD013C0AA0151,COMAX,,
5015,12-101100732,*ESATA CON. DIP RA 1*7P PH1.27 CD013C0AA0151-G PB_FREE,COMAX,NTD 18.0000,NTD 18.0000
5016,12-101100733,*ESATA CON. DIP RA 1*7P PH1.27 DAVID  ESATA-P07PDL-GS4-M311-K-A-RO(20110010) PB_FREE,DAVID,NTD 9.3000,NTD 9.3000
5017,12-101100734,*ESATA CON. DIP ST 1*7P PH1.27 ESATA-07MRS-R-15U-NY46 PB_FREE,FOXCONN,NTD 10.0000,NTD 13.3000
5018,12-101100735,ESATA CON. DIP RA 1*7P PH1.27 S3ESA01 PB_FREE,Lian Xiang,NTD 7.2000,NTD 7.2000
5019,12-101100736,ESATA CON. DIP UR 1*7P PH1.27 ESATA-07MR3-LCP PB_FREE,HSD,NTD 10.0000,NTD 10.0000
5020,12-101100737,*ESATA CON. DIP ST 1*7P PH1.27 J09-0412-01 PB_FREE,Lian Xiang,,
5021,12-101202230,*SATA CON. DIP RA  PH1.27 SATA-P(07+15)(h:7.55mm) S3SATA1 PB_FREE,Lian Xiang,NTD 12.4000,NTD 12.2000
5022,12-101202231,SATA CON. DIP RA  PH1.27 SATA-P(07+15)(h:10.55mm) S3SATA2 PB_FREE,Lian Xiang,,NTD 21.0000
5023,12-101206490,*PCIE2.0 DIP x4 RA 2*32P 2EG63217-D2DL-4F(黑色) PB_FREE,HON HAI,NTD 62.0000,NTD 62.0000
5024,12-102205280,Mini PCI EXPRESS SMD 2*26P AS0B226-S80N-7H PB_FREE,FOXCONN,NTD 10.5000,NTD 10.5000
5025,12-102206830,U.2 Conn SMD ST 68P C20604-16839-L PB_FREE,ALLTOP,NTD 44.8000,NTD 44.8000
5026,12-102209890,PCIE3.0 DIP x8 ST 2*49P C60201-19814-L (黑色/夾板式) PB_FREE,ALLTOP,NTD 30.5003,NTD 30.5000
5027,12-103100230,*SATA CON. SMT RA 1*7P PH1.27,COMAX,NTD 30.0000,NTD 30.0000
5028,12-103100710,*SATA CON. SMD RA 1*7P PH2.54  CD013A0AA0151-G PB_FREE,COMAX,NTD 15.2500,NTD 15.2500
5029,12-103100711,*ESATA CON. SMD RA 1*7P PH1.27 SATA-P07DSGS4-M311-K-A-RO(19870050) PB_FREE,DAVID,NTD 8.8000,NTD 8.8000
5030,12-103100730,*ESATA CON. SMD RA 1*7P PH1.27 ESATA-P07PMSGS4-M311-K-A-RO(2C060020) PB_FREE,DAVID,NTD 8.3300,NTD 8.9000
5031,12-103100731,ESATA CON. SMD RA 1*7P PH1.27 G1212-68000002 PB_FREE,WIESON,NTD 5.8000,NTD 5.8000
5032,12-103102230,SATA CON. SMT RA 1*22P PH1.27 H=2.4mm RECEIPTACLE C166N9-100A PB_FREE,ALLTOP,NTD 25.0000,NTD 25.0000
5033,12-103104680,U.2 Conn SMD PLUG RA 68P 78758002 PB_FREE,Molex,USD 4.0800,USD 4.0800
5034,12-103204990,PCIE3.0 SMD x8 RA 2*49P WPES-098AN91B74UWS(黑色) PB_FREE,LOTES,,
5035,12-104100230,*SATA CON. DIP RA MLTYPE2 PH1.27 SATA2-P(07+15)PDLGS4-P012-K-T-RO PB_FREE,DAVID,,
5036,12-104100231,SATA CON. DIP RA MLTYPE2 PH1.27 SATA0715RH40 PB_FREE,EVERSHINE,NTD 13.0000,NTD 12.5000
5037,12-104100232,SATA CON. DIP RA MLTYPE2 PH1.27 SAT-M22RD30-HB PB_FREE,EVERSHINE,NTD 9.0000,NTD 9.0000
5038,12-111200911,D-SUB DIP ML RA 2R 9P GREEN 5D1.22921-311F0.209 PB_FREE,ARC,NTD 6.0000,NTD 6.0000
5039,12-111200920,D-SUB DIP ML RA 2R 9P BLACK 5D1.22121-351A0.209 PB_FREE,ARC,NTD 6.0000,NTD 6.0000
5040,12-118502400,D-SUB DIP ML+FM RA 24P BLUE DDM10191-H553-4F PB_FREE,FOXCONN,NTD 29.0000,NTD 29.0000
5041,12-120000010,POWER MINI-DIN DIP RA 4P ARC 5D2.2111B-31970.104,ARC,NTD 5.5700,NTD 5.5700
5042,12-120040001,*POWER MINI-DIN DIP 4P MDP-04SP-RO(20160010) PB_FREE,DAVID,NTD 6.8000,NTD 5.8000
5043,12-120040002,*POWER MINI-DIN DIP 4P (PDJR04M) PB_FREE,ZI HUI,NTD 6.0000,NTD 6.0000
5044,12-120040003,*POWER MINI-DIN DIP 4P (PDJR04M-R-PBT) PB_FREE,ZI HUI,NTD 6.0000,NTD 6.0000
5045,12-120040004,POWER MINI-DIN DIP 4P (PDJR04M-U-PBT) PB_FREE,ZI HUI,NTD 6.1000,NTD 6.1000
5046,12-130210000,*SAS CON. DIP ST 2R SAS-29SGS6-K-T-RO(04200100) PB_FREE,DAVID,NTD 37.8000,NTD 37.8000
5047,12-130210001,*SAS CON. DIP ST 2R 3.3mm SASF1110031 PB_FREE,AMPHENOL,USD 0.3400,USD 0.3400
5048,12-130210002,SAS2.0(6Gbit/s) CON. DIP ST S3SAS01 PB_FREE,ALLTOP,NTD 9.8000,NTD 9.8000
5049,12-130210003,SAS CON. DIP ST S3SAS03 PB_FREE,Lian Xiang,NTD 14.0000,NTD 14.4000
5050,12-130210004,*SAS2.0(6Gbit/s) CON. DIP ST 2.4mm S3SAS04 PB_FREE,Lian Xiang,NTD 11.6000,NTD 11.0000
5051,12-130230001,*SAS CON. DIP ST 2R C20406-12905-L PB_FREE,ALLTOP,NTD 18.4000,NTD 18.4000
5052,12-130230002,SAS2.0(6Gbit/s) CON. DIP ST 2R C20408-12905-Y PB_FREE,ALLTOP,NTD 9.8000,NTD 9.8000
5053,12-130230003,SAS CON. DIP ML ST 29P PH1.27 S3SAS02 PB_FREE,Lian Xiang,NTD 18.0000,NTD 17.4000
5054,12-130230004,SAS2.0(6Gbit/s) CON. DIP ST 2R C20256-12939-Y PB_FREE,ALLTOP,NTD 11.2000,NTD 11.2000
5055,12-132130001,SAS2.0(6Gbit/s) CON. SMT ST 29P PH1.27 87824-0015 PB_FREE,Molex,USD 0.4000,USD 0.4000
5056,12-132130002,*SAS3.0(12Gbit/s) CON. SMT ST 29P PH1.27 78715-0007 PB_FREE,Molex,NTD 76.0000,NTD 76.0000
5057,12-132130003,SAS3.0(12Gbit/s) CON. SMT ST 29P PH1.27 10122272-002C-TRLF PB_FREE,FCI,USD 0.6200,USD 0.6200
5058,12-132130004,SAS2.0(6Gbit/s) CON. SMT ST 29P PH1.27 LD2529H-A09T6 PB_FREE,FOXCONN,NTD 12.3000,NTD 12.3000
5059,12-132130005,SAS3.0(12Gbit/s) CON. SMT ST 29P PH1.27 C20305-001 PB_FREE,ALLTOP,,
5060,12-133130001,SAS3.0(12Gbit/s) CON. SMT RA 29P PH1.27 HSAS-M29-R3S-10 PB_FREE,IF TECHNOLOGY,,USD 0.4500
5061,12-133130002,SAS3.0(12Gbit/s) CON. SMT RA 29P PH1.27 HSAS-M29-R3S-30 PB_FREE,IF TECHNOLOGY,,USD 0.4500
5062,12-133130003,SAS3.0(12Gbit/s) CON. SMT RA 29P PH1.27 HSAS-F29-R5S-00 PB_FREE,IF TECHNOLOGY,,USD 0.4500
5063,12-141200010,*COMBO 10/1000(with XMER/LED:L-Y;R-G/O)  RJ45 over 2USB2.0 R/A P1.27 JFM38U1G-21C4-4F PB_FREE,FOXCONN,NTD 23.5000,NTD 23.5000
5064,12-141200011,COMBO 10/1000(with XMER/LED:L-G;R-G/O) RJ45 over 2USB2.0 R/A P1.27 JFM38U1F-21GB-4F PB_FREE,FOXCONN,NTD 22.0000,NTD 22.0000
5065,12-141201010,COMBO 10/1000(with XMER/LED:L-G;R-G/Y) RJ45 over 2USB3.0 R/A P2.54 JFM38U1A-FB31-4F PB_FREE,FOXCONN,NTD 37.0000,NTD 37.0000
5066,12-141201310,COMBO 10/100/1000 (with XMER) RJ45 over 2USB3.0 R/A P2.54 JFM38U10-B313-4F PB_FREE,FOXCONN,NTD 27.3000,NTD 27.3000
5067,12-141202010,*COMBO 10/100/1000(with XMER/LED:L-G;R-G/Y)RJ45 over 上層USB2.0 下層USB3.0 R/A P2.54 JFM38U1A-B319-4F,FOXCONN,NTD 35.0000,NTD 35.0000
5068,12-141202110,COMBO 10/100/1000 (with XMER) RJ45 over 上層USB2.0 下層USB3.0 R/A P2.54 JFM38U10-B319-4F PB_FREE,FOXCONN,NTD 32.0000,NTD 32.0000
5069,12-141202210,COMBO 10/100/1000 (with XMER) RJ45 over 2USB2.0 R/A P2.54 JFM38U10-21GB-4F PB_FREE,FOXCONN,NTD 20.0000,NTD 20.0000
5070,12-150000010,CONN AUDIO SMD 4P LIAN XIANG (S3AU001),Lian Xiang,NTD 8.0000,NTD 8.0000
5071,12-153100300,*AUDIO CONN DIP RA JY-3505-01-130 PB-FREE,JYETAI,NTD 3.8000,NTD 3.8000
5072,12-153100301,*AUDIO CONN DIP RA JY-3505-01-030 (雙音/帶Ground) PB-FREE,JYETAI,NTD 4.5000,NTD 4.5000
5073,12-153100302,*AUDIO CONN DIP RA PJD-035-102MD (雙音/帶Ground) PB-FREE,Lian Xiang,NTD 6.0000,NTD 6.0000
5074,12-153300400,*AUDIO/MIC CONN DIP RA HL-317-02A (雙音/帶Ground) PB-FREE,Lian Xiang,,
5075,12-155200201,AUDIO CONN SMD RA SHT-3814D (雙音/帶Ground) PB-FREE,Showman,NTD 6.2000,NTD 6.2000
5076,12-160000010,DISPLAY PORT SMD 24P LOTES ADIS0042-P015A11,LOTES,,NTD 10.0000
5077,12-163200200,*RCA JACK DIP RA JR11030-W561-4F PB-FREE,FOXCONN,NTD 14.0000,NTD 14.0000
5078,12-163200201,*RCA JACK DIP RA JR11030-H112-4F PB-FREE,FOXCONN,,NTD 4.6000
5079,12-163300500,Video CONN DZ11AA1-H5A7-4F 15P PB-FREE,FOXCONN,NTD 5.3000,NTD 5.3000
5080,12-170000010,*CONN HDMI DIP 23P WIESON AC3168-0355-001-00,WIESON,NTD 14.0000,NTD 14.0000
5081,12-170000020,CONN HDMI DIP 23P WIESON AC3168-0355-002-H0,WIESON,NTD 16.0000,NTD 16.0000
5082,12-170000030,CONN HDMI DIP 23P WIESON AC3168-06000001-H0,WIESON,,
5083,12-170000040,CONN HDMI DIP 23P LIAN XIANG S3HD001,Lian Xiang,,
5084,12-177101900,*HDMI CONN 5U1.2437C-15210.119 19P PB_FREE,ARC,,NTD 8.2000
5085,12-177101901,*HDMI CONN HDMI-19SMGS4-K-CW1-A-RO 19P PB_FREE,DAVID,NTD 6.7000,NTD 6.7000
5086,12-177101902,*HDMI CONN 5U1.2437C-32580.119 19P PB_FREE,ARC,NTD 7.0000,NTD 7.0000
5087,12-177101903,*HDMI CONN 5U1.2437C-32730.119 19P PB_FREE,ARC,NTD 6.5000,NTD 6.5000
5088,12-177101904,*HDMI CONN 1HD01911-55202 19P PB_FREE,HIGH-TOP,USD 0.2000,USD 0.2000
5089,12-177101905,HDMI CONN G3168HT710-001 19P PB_FREE,WIESON,NTD 5.5000,NTD 5.5000
5090,12-180000010,CONN SATA  SMD ST 7P ALLTOP C12763-10733-L,ALLTOP,NTD 22.1000,NTD 22.1000
5091,12-187101100,*Mini SD MINI-SD2-11MGS3-S-K-A-RO 11P PB_FREE,DAVID,,
5092,12-197110001,Infiniband CONN SMD R-FS-01504X-2-S12-P 26P PB_FREE,ALLBEST,NTD 78.0000,NTD 78.0000
5093,12-200000010,CONN MINI SAS HD PRESS-FIT RA 84P JPC P9212C03000T,JPC,USD 7.5000,USD 7.5000
5094,12-200000020,CONN MINI SAS HD PRESS-FIT RA 84P ARC 5A2-002-12R272-Y,ARC,NTD 238.0000,NTD 305.0000
5095,12-200000030,CONN MINI SAS HD PRESS-FIT ST 36P ALLTOP C29714-13639-Y,ALLTOP,NTD 42.0000,NTD 42.0000
5096,12-200000040,CONN MINI SAS HD PRESS-FIT RA 36P JPC P9211C03000T-0,JPC,USD 2.8000,USD 3.8000
5097,12-200000050,CONN MINI SAS HD PRESS-FIT RA 36P JPC P916A036P30T-0,JPC,USD 1.4000,USD 1.4000
5098,12-200000060,CONN MINI SAS HD INT 1x4 DIP RA 144P JPC P916C144P30T-0,JPC,USD 5.4000,USD 5.4000
5099,12-200000070,CONN MINI SAS HD  1x4 DIP RA 162P JPC P9214C03000T-0,JPC,USD 9.8000,USD 9.8000
5100,12-200000080,CONN MINI SAS HD PRESS-FIT RA 43P AMPHENOL U92-L111-1001-70,AMPHENOL,USD 2.3700,USD 2.3700
5101,12-200240001,Mini SAS CONN PRESS-FIT 10120666-101LF 36P PB_FREE,FCI,USD 1.5100,USD 1.5100
5102,12-201950001,*Mini SAS CONN DIP 10112626-101LF/U92-A111-1001-70 36P PB_FREE,FCI,USD 2.3700,USD 2.3700
5103,12-201950002,Mini SAS CONN PRESS-FIT 10112632-101LF 36P PB_FREE,FCI,USD 1.4500,USD 1.4500
5104,12-203200001,Mini SAS CONN SMD R-IS-001026-4-N Rev B(Compliant SFF8088) 26P PB_FREE,ALLBEST,NTD 72.0000,NTD 64.0000
5105,12-203200002,Mini SAS CONN GUIDE RAIL HOUSING ASSEMBLY (Compliant 12-203200001),ALLBEST,NTD 40.0000,NTD 34.0000
5106,12-203200003,Mini SAS CONN SMD RA LD2136-M8X-A 36P PB_FREE,FOXCONN,,
5107,12-206200001,Mini SAS CONN SMD LD2536H-M8NL6 36P PB_FREE,FOXCONN,NTD 37.0000,NTD 37.0000
5108,12-208200001,Mini SAS CONN DIP+SMD MIS-R36RS30-5N 36P PB_FREE,Y.C.,NTD 44.0000,NTD 44.0000
5109,12-208200002,Mini SAS CONN DIP+SMD 83440601-020 36P PB_FREE,REGO,,NTD 46.0000
5110,12-217100800,Micro SD CARD CON. 5C5.2A21B-13151.108 8P PB_FREE,ARC,NTD 7.5000,NTD 7.5000
5111,12-217100801,Micro SD CARD CON. 5C5.2221B-13472.008 8P PB_FREE,ARC,,
5112,12-217100900,*SD CARD CON. 1403B170 9P PB_FREE,DAVID,NTD 13.0000,NTD 13.0000
5113,12-217100901,*SD CARD CON. D040-FD09 9P PB_FREE,ARC,NTD 13.0000,NTD 14.0000
5114,12-217100902,*SD CARD CON. 5C5.2221B-13420.009 9P PB_FREE,ARC,NTD 13.0000,NTD 13.0000
5115,12-217100903,SD CARD CON. WK2192C-S6P-7F 303-0000-1343 9P PB_FREE,FOXCONN,NTD 10.8000,NTD 10.8000
5116,12-223508011,SPDIF JACK DIP ML RA 7P PH2.54 0808T*001 PB_FREE,JYETAI,NTD 8.5000,NTD 8.5000
5117,12-233850043,TERMINAL CONN DIP RA TA--5.0mm(with screw block) PB-FREE,Lian Xiang,,
5118,12-240000010,CONN BOX HEADER DIP 34P ALLTOP C210E2-002,ALLTOP,NTD 79.0000,NTD 79.0000
5119,12-240000020,CONN BOX HEADER DIP 50P ALLTOP C21084-15049-Y,ALLTOP,NTD 83.0000,NTD 83.0000
5120,12-240201710,BOX HEADER CONN DIP ST 17*2 C21049-13443-Y PB-FREE,ALLTOP,NTD 85.0000,NTD 85.0000
5121,12-241202510,BOX HEADER CONN DIP C21804-15031Y PB-FREE,ALLTOP,,
5122,12-241204010,BOX HEADER CONN DIP B TYPE SR40PL01B PB-FREE,Lian Xiang,NTD 15.0000,NTD 15.0000
5123,12-257207550,NGFF CON SMD 75P 90°RA AS0BC26-S30BB-7H PB_FREE,FOXCONN,,NTD 20.5000
5124,12-257207551,NGFF M-key CON SMD 75P 90°RA AS0BC21-S40BM-7H PB_FREE,FOXCONN,NTD 6.2000,NTD 6.2000
5125,12-257207552,NGFF M-key CON SMD 75P 90°RA H:8.5mm 2E0BC21-S85BM-7H PB_FREE,FOXCONN,,
5126,12-260000010,BACKPLANE AIRMAX VS2 R/A HEADER ASSY PRESS-FIT 54POS FCI 10123543-102LF,FCI,USD 2.2000,USD 2.2000
5127,12-260000020,BACKPLANE AIRMAX VS2 VERT RECPT ASSY PRESS-FIT 54POS FCI 10124469-102LF,FCI,USD 1.9500,USD 1.9500
5128,12-260100900,*BACKPLANE CONN DIP 3pair 54position 2mm pitch 6column 4walls RA 85ohm 10097256-101LF PB-FREE,FCI,USD 2.7200,USD 2.7200
5129,12-260100901,*BACKPLANE CONN DIP 3pair 54position 2mm 6column vertical receptacle 85ohm 10096461-101LF PB-FREE,FCI,USD 2.3000,NTD 2.3000
5130,12-263002800,BACKPLANE POWER CONN PRESS-FIT power receptacle 2x2 10028916-4554P00LF PB-FREE,FCI,USD 1.5500,USD 1.5500
5131,12-263002801,*BACKPLANE POWER CONN DIP power receptacle 2x2 10028916-4555P00LF PB-FREE,FCI,USD 1.6100,
5132,12-263100200,BACKPLANE POWER CONN PRESS-FIT power header 2x2 10028917-001LF PB-FREE,FCI,USD 0.7800,USD 0.7800
5133,12-263100300,*BACKPLANE CONN PRESS-FIT 3pair 54position 2mm pitch 6column 4walls right angle 10039851-101LF,FCI,USD 1.4500,USD 1.4500
5134,12-263100400,*BACKPLANE CONN PRESS-FIT 3pair 54position 2mm pitch 6 column vertical receptacle 10043546-101LF,FCI,USD 1.9500,USD 1.9500
5135,12-270000000,CONN ISA DIP RA 50P ALLTOP?C210V9-15049-Y,ALLTOP,NTD 81.0000,NTD 81.0000
5136,12-270200610,ISA CON. DIP ST 6P PH2.54 SA-06-D PB_FREE,Lian Xiang,,
5137,12-280008000,CAGE SFP+ 10G SGL PRESS-FIT ALL BEST R-SH-008020-6-F-05,ALLBEST,NTD 20.0000,NTD 20.0000
5138,12-280762000,CONN SFP+ 10G PRESS-FIT 20P AMPHENOL UE76-A20-2000T,AMPHENOL,USD 0.4500,USD 0.4500
5139,12-280771600,CAGE SFP+ 10G SGL PRESS-FIT AMPHENOL U77-A1618-2001,AMPHENOL,USD 0.5000,USD 0.5000
5140,12-281008000,CONN SFP+ 10G PRESS-FIT 20P ALL BEST R-SS-008020-9-N,ALLBEST,NTD 18.0000,NTD 18.0000
5141,12-281009000,CONN SFP28 25G PRESS-FIT 20P ALL BEST R-SS-009020-3-N,ALLBEST,NTD 32.5000,NTD 34.0000
5142,12-281102000,*CONN SFP+ 10G SMD 20P FOXCONN 3S1020G3-011-7F,FOXCONN,NTD 24.0000,NTD 24.0000
